Tetenbüll,  603
Vollerwiek,  225
Welt,  190
Westerhever,  100
Hörnum (Sylt),  917
Kampen (Sylt),  471
List auf Sylt, 1 553
Wenningstedt-Braderup (Sylt), 1 624
Ahrenviöl,  512
Ahrenviölfeld,  226
Behrendorf,  563
Bondelum,  166
Haselund,  888
Immenstedt,  641
Löwenstedt,  680
Norstedt,  388
Oster-Ohrstedt,  644
Schwesing,  956
Sollwitt,  288
Viöl, 2 237
Wester-Ohrstedt, 1 034
Hallig Hooge,  103
Langeneß,  129
Pellworm, 1 203
Alkersum,  397
Borgsum,  331
Midlum,  440
Nebel,  947
Nieblum,  592
Norddorf auf Amrum,  578
Oevenum,  465
Oldsum,  510
Süderende,  184
Utersum,  406
Wittdün auf Amrum,  806
Wrixum,  602
"Wyk auf Föhr, Stadt", 4 280
Achtrup, 1 502
Aventoft,  420
Bosbüll,  234
Braderup,  668
Bramstedtlund,  217
Dagebüll,  897
Ellhöft,  111
Friedrich-Wilhelm-Lübke-Koog,  174
Humptrup,  762
Karlum,  209
Klanxbüll, 1 006
Klixbüll, 1 050
Ladelund, 1 365
Leck, 7 771
Neukirchen, 1 132
"Niebüll, Stadt", 10 089
Risum-Lindholm, 3 849
Rodenäs,  419
Sprakebüll,  255
Stadum,  966
Stedesand,  864
Süderlügum, 2 422
Tinningstedt,  234
Uphusum,  365
Westre,  358
Galmsbüll,  611
Emmelsbüll-Horsbüll,  887
Enge-Sande, 1 132
Arlewatt,  338
Drage,  644
Hattstedt, 2 611
Hattstedtermarsch,  271
Horstedt,  817
Hude,  179
Koldenbüttel,  907
Mildstedt, 3 978
Nordstrand, 2 237
Oldersbek,  747
Olderup,  459
Ostenfeld (Husum), 1 522
Ramstedt,  423
Rantrum, 1 877
Schwabstedt, 1 340
Seeth,  779
Simonsberg,  837
Südermarsch,  143
Uelvesbüll,  303
Winnert,  717
Wisch,  118
Wittbek,  781
Witzwort, 1 016
Wobbenbüll,  451
Ahrenshöft,  528
Almdorf,  535
Bargum,  625
Bohmstedt,  718
Bordelum, 1 995
"Bredstedt, Stadt", 5 633
Breklum, 2 308
Drelsdorf, 1 251
Goldebek,  365
Goldelund,  412
Högel,  462
Joldelund,  738
Langenhorn, 3 334
Lütjenholm,  331
Ockholm,  300
Sönnebüll,  273
Struckum, 1 026
Vollstedt,  172
Ahrensbök, 8 329
"Bad Schwartau, Stadt", 20 240
Bosau, 3 417
Dahme, 1 191
"Eutin, Stadt", 16 960
Grömitz, 7 180
Grube, 1 053
"Heiligenhafen, Stadt", 9 186
Kellenhusen (Ostsee), 1 156
Malente, 10 895
"Neustadt in Holstein, Stadt", 15 154
"Oldenburg in Holstein, Stadt", 9 851
Ratekau, 15 093
Stockelsdorf, 16 982
Süsel, 5 077
Timmendorfer Strand, 8 679
Scharbeutz, 11 552
"Fehmarn, Stadt", 12 875
Göhl, 1 119
Gremersdorf, 1 512
Großenbrode, 2 196
Heringsdorf, 1 092
Neukirchen, 1 179
Wangels, 2 176
Beschendorf,  528
Damlos,  622
Harmsdorf,  639
Kabelhorst,  421
Lensahn, 4 977
Manhagen,  375
Riepsdorf,  907
Altenkrempe, 1 140
Kasseedorf, 1 459
Schashagen, 2 083
Schönwalde am Bungsberg, 2 584
Sierksdorf, 1 608
"Barmstedt, Stadt", 10 428
Bönningstedt, 4 529
"Elmshorn, Stadt", 49 948
Halstenbek, 17 947
Hasloh, 3 767
Helgoland, 1 307
"Pinneberg, Stadt", 43 503
"Quickborn, Stadt", 21 659
Rellingen, 14 388
"Schenefeld, Stadt", 19 368
"Tornesch, Stadt", 14 131
"Uetersen, Stadt", 18 595
"Wedel, Stadt", 33 935
Klein Nordende, 3 393
Klein Offenseth-Sparrieshoop, 3 117
Kölln-Reisiek, 3 426
Seester, 1 035
Raa-Besenbek,  538
Seestermühe,  886
Seeth-Ekholt,  873
Bokel,  596
Brande-Hörnerkirchen, 1 664
Osterhorn,  412
Westerhorn, 1 342
Bevern,  589
Bilsen,  820
Bokholt-Hanredder, 1 305
Bullenkuhlen,  380
Ellerhoop, 1 531
Groß Offenseth-Aspern,  463
Heede,  762
Hemdingen, 1 677
Langeln,  598
Lutzhorn,  780
Borstel-Hohenraden, 2 490
Ellerbek, 4 239
Kummerfeld, 2 371
Prisdorf, 2 257
Tangstedt, 2 267
Appen, 4 849
Groß Nordende,  778
Haselau, 1 097
Haseldorf, 1 816
Heidgraben, 2 709
Heist, 2 879
Hetlingen, 1 376
Holm, 3 254
Moorrege, 4 516
Neuendeich,  495
Ascheberg (Holstein), 2 905
Bönebüttel, 2 043
Bösdorf, 1 333
"Plön, Stadt", 8 987
"Preetz, Stadt", 15 958
"Schwentinental, Stadt", 13 769
Behrensdorf (Ostsee),  640
Blekendorf, 1 694
Dannau,  600
Giekau, 1 028
Helmstorf,  297
Högsdorf,  409
Hohenfelde, 1 016
Hohwacht (Ostsee),  852
Kirchnüchel,  189
Klamp,  652
"Lütjenburg, Stadt", 5 305
Panker, 1 408
Schwartbuck,  762
Tröndel,  371
Dersau,  891
Dörnick,  253
Grebin,  996
Kalübbe,  582
Lebrade,  586
Nehmten,  286
Rantzau,  339
Rathjensdorf,  473
Wittmoldt,  165
Barmissen,  153
Boksee,  473
Bothkamp,  270
Großbarkau,  257
Honigsee,  455
Kirchbarkau,  783
Klein Barkau,  271
Kühren,  604
Lehmkuhlen, 1 319
Löptin,  287
Nettelsee,  423
Pohnsdorf,  409
Postfeld,  440
Rastorf,  797
Schellhorn, 1 475
Wahlstorf,  460
Warnau,  346
Barsbek,  553
Bendfeld,  199
Brodersdorf,  415
Fahren,  124
Fiefbergen,  537
Höhndorf,  463
Köhn,  760
Krokau,  421
Krummbek,  402
Laboe, 5 150
Lutterbek,  353
Passade,  350
Prasdorf,  439
Probsteierhagen, 2 120
Schönberg (Holstein), 6 347
Stakendorf,  470
Stein,  761
Stoltenberg,  326
Wendtorf,  996
Wisch,  700
Dobersdorf, 1 075
Lammershagen,  252
Martensrade,  979
Mucheln,  570
Schlesen,  554
Selent, 1 644
Fargau-Pratjau,  828
Heikendorf, 8 451
Mönkeberg, 4 147
Schönkirchen, 6 819
Belau,  395
Großharrie,  481
Rendswühren,  760
Ruhwinkel,  965
Schillsdorf,  874
Stolpe, 1 309
Tasdorf,  342
Wankendorf, 2 922
Altenholz, 10 021
"Büdelsdorf, Stadt", 10 466
"Eckernförde, Stadt", 21 637
Kronshagen, 11 927
"Rendsburg, Stadt", 28 705
Wasbek, 2 328
Achterwehr, 1 043
Bredenbek, 1 518
Felde, 2 107
Krummwisch,  674
Melsdorf, 1 878
Ottendorf,  968
Quarnbek, 1 777
Westensee, 1 543
Dänischenhagen, 3 846
Noer,  893
Schwedeneck, 2 836
Strande, 1 515
Felm, 1 185
Gettorf, 7 591
Lindau, 1 359
Neudorf-Bornstein, 1 096
Neuwittenbek, 1 117
Osdorf, 2 507
Schinkel,  998
Tüttendorf, 1 233
Böhnhusen,  300
Flintbek, 7 240
Schönhorst,  303
Techelsdorf,  148
Alt Duvenstedt, 1 889
Fockbek, 6 440
Nübbel, 1 588
Rickert, 1 042
Bargstall,  151
Breiholz, 1 384
Christiansholm,  233
Elsdorf-Westermühlen, 1 582
Friedrichsholm,  422
Hamdorf, 1 308
Hohn, 2 419
Königshügel,  178
Lohe-Föhrden,  455
Prinzenmoor,  159
Sophienhamm,  297
Brinjahe,  105
Embühren,  194
Haale,  503
Hamweddel,  458
Jevenstedt, 3 356
Luhnstedt,  401
Schülp b. Rendsburg, 1 103
Stafstedt,  369
Westerrönfeld, 5 014
Blumenthal,  683
Mielkendorf, 1 373
Molfsee, 5 068
Rodenbek,  473
Rumohr,  855
Schierensee,  352
Bargstedt,  724
Bokel,  594
Borgdorf-Seedorf,  489
Brammer,  347
Dätgen,  577
Eisendorf,  283
Ellerdorf,  474
Emkendorf, 1 355
Gnutz, 1 182
Groß Vollstedt,  978
Krogaspe,  429
Langwedel, 1 552
"Nortorf, Stadt", 6 912
Oldenhütten,  157
Schülp b. Nortorf,  783
Timmaspe, 1 060
Warder,  685
Bovenau, 1 093
Haßmoor,  263
Ostenfeld (Rendsburg),  600
Osterrönfeld, 5 117
Rade b. Rendsburg,  211
Schacht-Audorf, 4 887
Schülldorf,  744
Bissee,  165
Bordesholm, 7 766
Brügge, 1 120
Grevenkrug,  211
Groß Buchwald,  353
Hoffeld,  165
Loop,  195
Mühbrook,  552
Negenharrie,  371
Reesdorf,  162
Schmalstede,  298
Schönbek,  210
Sören,  191
Wattenbek, 2 898
Ascheffel, 1 003
Borgstedt, 1 706
Brekendorf,  991
Bünsdorf,  621
Damendorf,  438
Groß Wittensee, 1 317
Haby,  574
Holtsee, 1 268
Holzbunge,  363
Hütten,  217
Klein Wittensee,  227
Neu Duvenstedt,  122
Osterby, 1 045
Owschlag, 3 685
Sehestedt,  840
Ahlefeld-Bistensee,  497
Altenhof,  316
Barkelsby, 1 561
Brodersby,  690
Damp, 1 488
Dörphof,  724
Fleckeby, 2 154
Gammelby,  523
Güby,  752
Holzdorf,  835
Hummelfeld,  278
Karby,  550
Kosel, 1 422
Loose,  832
Goosefeld,  731
Rieseby, 2 784
Thumby,  374
Waabs, 1 424
Windeby, 1 008
Winnemark,  507
Arpsdorf,  270
Aukrug, 3 854
Beldorf,  272
Bendorf,  428
Beringstedt,  756
Bornholt,  178
Ehndorf,  609
Gokels,  545
Grauel,  260
Hanerau-Hademarschen, 3 012
Heinkenborstel,  137
Hohenwestedt, 5 378
Jahrsdorf,  224
Lütjenwestedt,  538
Meezen,  351
Mörel,  243
Nienborstel,  580
Nindorf,  626
Oldenbüttel,  251
Osterstedt,  644
Padenstedt, 1 685
Remmels,  421
Seefeld,  345
Steenfeld,  344
Tappendorf,  332
Thaden,  236
Todenbüttel, 1 032
Wapelfeld,  314
"Kappeln, Stadt", 8 609
"Schleswig, Stadt", 25 322
"Glücksburg (Ostsee), Stadt", 6 220
Harrislee, 11 770
Handewitt, 11 150
Eggebek, 2 512
Janneby,  405
Jerrishoe, 1 009
Jörl,  788
Langstedt, 1 042
Sollerup,  485
Süderhackstedt,  323
Wanderup, 2 575
Borgwedel,  728
Busdorf, 2 094
Dannewerk, 1 150
Fahrdorf, 2 575
Geltorf,  363
Jagel,  985
Lottorf,  246
Selk,  860
Tastrup,  409
Ausacker,  524
Großsolt, 1 777
Hürup, 1 251
Husby, 2 418
Maasbüll,  699
Freienwill, 1 614
"Arnis, Stadt",  280
Grödersby,  200
Oersberg,  298
Rabenkirchen-Faulück,  653
Dollerup, 1 036
Grundhof,  914
Langballig, 1 590
Munkbrarup, 1 171
Ringsberg,  539
